contract_type,detail_url,job_type,location,salary,title
Permanent,/jobs/data-analyst-trainee/51879828?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D3,full-time,London, Training Course,Data Analyst Trainee
Permanent,/jobs/data-analyst-trainee/51879560?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D3,full-time,Sunderland, Training Course,Data Analyst Trainee
Permanent,/jobs/data-analyst-trainee/51879459?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D3,full-time,Enfield, Training Course,Data Analyst Trainee
Permanent,/jobs/data-analyst-trainee/51883656?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D3,full-time,London, Training Course,Data Analyst Trainee
Permanent,/jobs/data-analyst-trainee/51868769?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D3,full-time,Croydon, Training Course,Data Analyst Trainee
Permanent,/jobs/data-analyst-trainee/52027847?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D3,full-time,Gloucester, Training Course,Data Analyst Trainee
Permanent,/jobs/data-analyst-trainee/52027487?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D3,full-time,West London, Training Course,Data Analyst Trainee
Permanent,/jobs/data-analyst-trainee/52027406?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D3,full-time,Cambridge, Training Course,Data Analyst Trainee
Permanent,/jobs/data-analyst-trainee/52027196?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D3,full-time,Slough, Training Course,Data Analyst Trainee
Permanent,/jobs/data-analyst-trainee/51852763?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D3,full-time,Nottingham, Training Course,Data Analyst Trainee
Permanent,/jobs/data-analyst-trainee/51852655?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D3,full-time,Liverpool, Training Course,Data Analyst Trainee
Permanent,/jobs/data-protection-analyst/52139632?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D3,full-time,Sunderland,"£40,000 - £47,000 per annum",Data Protection Analyst
Contract,/jobs/data-governance-analyst/52168319?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D3,full-time,Netherlands,€95 - €110 per hour,Data Governance Analyst
Contract,/jobs/data-governance-analyst/52118785?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D3,full-time,City of London,£450 - £500 per day,Data Governance Analyst
Permanent,/jobs/risk-data-analyst/52190438?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D3,full-time,Loughborough,Competitive salary,Risk Data Analyst
Permanent,/jobs/data-quality-analyst/52206043?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D3,full-time,London,"£40,000 - £50,000 per annum",Data Quality Analyst
Temporary,/jobs/it-data-analyst/52212140?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D3,full-time,Manchester,£18.10 per hour,IT Data Analyst
Permanent,/jobs/digital-data-analyst/52046551?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D3,full-time,City of London,"£42,000 - £45,000 per annum, inc benefits, pro-rata",Digital Data Analyst
Permanent,/jobs/supply-chain-data-analyst/52125427?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D3,full-time,Gaydon,"£55,000 - £62,000 per annum",Supply Chain Data Analyst 
Permanent,/jobs/supply-chain-data-analyst/52125439?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D3,full-time,Gaydon,Competitive salary,Supply Chain Data Analyst
Contract,/jobs/web-scraping-data-analyst/52229750?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D3,full-time,Newbury,"£34,000 per annum",Web Scraping Data Analyst
Temporary,/jobs/financial-data-analyst-analyst-recommendations/52155509?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D3,full-time,London,Salary negotiable,Financial Data Analyst - Analyst Recommendations
Permanent,/jobs/waste-and-esg-data-analyst/52107000?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D3,full-time,Ipswich,Salary negotiable,Waste and ESG data analyst
Contract,/jobs/data-analyst/52118125?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D3,full-time,South West England,£36 - £450 per day,Data Analyst
Permanent,/jobs/data-analyst/52098419?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D3,full-time,Manchester,"£45,000 - £50,000 per annum",Data Analyst
Permanent,/jobs/data-analyst/52026873?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D3,full-time,London,Salary negotiable,Data Analyst
Permanent,/jobs/senior-data-governance-analyst-banking/52110236?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D3,full-time,London,"£70,000 - £75,000 per annum",Senior Data Governance Analyst Banking 
Contract,/jobs/data-analyst/52125679?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D3,full-time,Manchester,£350 - £450 per day,Data Analyst
Contract,/jobs/data-analyst/52093307?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D3,full-time,London,£450 per day,Data Analyst
Permanent,/jobs/data-analyst/52182952?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D3,full-time,Salford,"£35,000 - £40,000 per annum",Data Analyst
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
Contract,/jobs/data-governance-analyst/52168319?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D4,full-time,Netherlands,€95 - €110 per hour,Data Governance Analyst
Permanent,/jobs/risk-data-analyst/52190438?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D4,full-time,Loughborough,Competitive salary,Risk Data Analyst
Permanent,/jobs/data-analyst/52008715?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D4,full-time,Luton,"£40,000 - £45,000 per annum, OTE, inc benefits, negotiable",Data Analyst
Contract,/jobs/data-analyst/52077173?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D4,full-time,Ireland,Salary negotiable,Data Analyst
Permanent,/jobs/data-analyst/52255986?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D4,full-time,Manchester,"£55,000 - £65,000 per annum",Data Analyst
Permanent,/jobs/data-analyst/52177247?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D4,full-time,Nottingham,"£35,000 - £42,000 per annum",Data Analyst
Permanent,/jobs/senior-data-governance-analyst-banking/52110236?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D4,full-time,London,"£70,000 - £75,000 per annum",Senior Data Governance Analyst Banking 
Permanent,/jobs/data-analyst/52056162?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D4,full-time,London,"£35,000 - £45,000 per annum",Data Analyst
Contract,/jobs/data-analyst/52125679?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D4,full-time,Manchester,£350 - £450 per day,Data Analyst
Permanent,/jobs/data-analyst/52016633?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D4,full-time,Wolverhampton,"£45,000 - £50,000 per annum",Data Analyst
Permanent,/jobs/data-analyst/52250597?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D4,full-time,Chalfont St. Peter,"£35,000 - £40,000 per annum",Data Analyst
Permanent,/jobs/data-analyst/52176937?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D4,full-time,Reading,"£30,000 - £35,000 per annum",Data Analyst
Permanent,/jobs/data-analyst/52250940?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D4,full-time,Gerrards Cross,"£35,000 - £40,000 per annum, inc benefits",Data Analyst
Permanent,/jobs/data-analyst/52207081?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D4,full-time,Birmingham,"£30,000 - £40,000 per annum",Data Analyst 
Permanent,/jobs/data-analyst/52205852?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D4,full-time,Blackburn,"£35,000 - £40,000 per annum",Data Analyst
Permanent,/jobs/data-analyst/52142272?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D4,full-time,Stourport-on-Severn,"£30,000 - £35,000 per annum",Data Analyst
Permanent,/jobs/data-analyst/52086956?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D4,full-time,London,"£35,000 - £40,000 per annum",Data Analyst
